"uri","label"
"/gtc-2017/data/cars_train/00001.jpg","truck"
"/gtc-2017/data/cars_train/00002.jpg","truck"
"/gtc-2017/data/cars_train/00004.jpg","car"
"/gtc-2017/data/cars_train/00005.jpg","car"
"/gtc-2017/data/cars_train/00007.jpg","car"
"/gtc-2017/data/cars_train/00008.jpg","truck"
"/gtc-2017/data/cars_train/00009.jpg","truck"
"/gtc-2017/data/cars_train/00010.jpg","car"
"/gtc-2017/data/cars_train/00011.jpg","car"
"/gtc-2017/data/cars_train/00013.jpg","car"
"/gtc-2017/data/cars_train/00014.jpg","truck"
"/gtc-2017/data/cars_train/00015.jpg","car"
"/gtc-2017/data/cars_train/00016.jpg","car"
"/gtc-2017/data/cars_train/00018.jpg","truck"
"/gtc-2017/data/cars_train/00019.jpg","car"
"/gtc-2017/data/cars_train/00021.jpg","truck"
"/gtc-2017/data/cars_train/00022.jpg","truck"
"/gtc-2017/data/cars_train/00023.jpg","car"
"/gtc-2017/data/cars_train/00025.jpg","truck"
"/gtc-2017/data/cars_train/00026.jpg","truck"
"/gtc-2017/data/cars_train/00027.jpg","car"
"/gtc-2017/data/cars_train/00028.jpg","car"
"/gtc-2017/data/cars_train/00029.jpg","car"
"/gtc-2017/data/cars_train/00030.jpg","truck"
"/gtc-2017/data/cars_train/00032.jpg","car"
"/gtc-2017/data/cars_train/00033.jpg","car"
"/gtc-2017/data/cars_train/00035.jpg","truck"
"/gtc-2017/data/cars_train/00036.jpg","car"
"/gtc-2017/data/cars_train/00037.jpg","car"
"/gtc-2017/data/cars_train/00039.jpg","truck"
"/gtc-2017/data/cars_train/00040.jpg","car"
"/gtc-2017/data/cars_train/00041.jpg","truck"
"/gtc-2017/data/cars_train/00043.jpg","truck"
"/gtc-2017/data/cars_train/00044.jpg","car"
"/gtc-2017/data/cars_train/00045.jpg","car"
"/gtc-2017/data/cars_train/00047.jpg","car"
"/gtc-2017/data/cars_train/00048.jpg","truck"
"/gtc-2017/data/cars_train/00049.jpg","car"
"/gtc-2017/data/cars_train/00050.jpg","car"
"/gtc-2017/data/cars_train/00051.jpg","truck"
"/gtc-2017/data/cars_train/00052.jpg","truck"
"/gtc-2017/data/cars_train/00053.jpg","car"
"/gtc-2017/data/cars_train/00054.jpg","car"
"/gtc-2017/data/cars_train/00055.jpg","car"
"/gtc-2017/data/cars_train/00056.jpg","car"
"/gtc-2017/data/cars_train/00057.jpg","truck"
"/gtc-2017/data/cars_train/00058.jpg","truck"
"/gtc-2017/data/cars_train/00059.jpg","truck"
"/gtc-2017/data/cars_train/00060.jpg","car"
"/gtc-2017/data/cars_train/00061.jpg","truck"
"/gtc-2017/data/cars_train/00062.jpg","car"
"/gtc-2017/data/cars_train/00066.jpg","car"
"/gtc-2017/data/cars_train/00068.jpg","truck"
"/gtc-2017/data/cars_train/00069.jpg","car"
"/gtc-2017/data/cars_train/00070.jpg","car"
"/gtc-2017/data/cars_train/00071.jpg","truck"
"/gtc-2017/data/cars_train/00072.jpg","car"
"/gtc-2017/data/cars_train/00074.jpg","car"
