Driver_ID	Distance_Feature	Speeding_Feature
3423311935	71.24	28.0
3423313212	52.53	25.0
3423313724	64.54	27.0
3423311373	55.69	22.0
3423310999	54.58	25.0
3423313857	41.91	10.0
3423312432	58.64	20.0
3423311434	52.02	8.0
3423311328	31.25	34.0
3423312488	44.31	19.0
3423311254	49.35	40.0
3423312943	58.07	45.0
3423312536	44.22	22.0
3423311542	55.73	19.0
3423312176	46.63	43.0
3423314176	52.97	32.0
3423314202	46.25	35.0
3423311346	51.55	27.0
3423310666	57.05	26.0
3423313527	58.45	30.0
3423312182	43.42	23.0
3423313590	55.68	37.0
3423312268	55.15	18.0
3423314255	43.84	22.0
3423311976	59.26	32.0
3423312669	37.14	41.0
3423310697	64.3	29.0
3423312113	45.75	16.0
3423313343	45.97	23.0
3423311431	56.04	39.0
3423310755	33.64	45.0
3423311821	41.67	33.0
3423314359	50.68	39.0
3423313106	54.22	35.0
3423310754	56.2	29.0
3423310524	46.16	41.0
3423311780	50.22	24.0
3423312156	49.66	33.0
3423312916	38.61	37.0
3423310588	55.28	36.0
3423312995	57.87	41.0
3423313389	61.69	12.0
3423311369	37.41	21.0
3423311408	53.83	32.0
3423311598	62.98	22.0
3423312047	46.97	13.0
3423312322	58.03	24.0
3423313247	59.87	36.0
3423310944	81.34	31.0
3423312404	48.56	26.0
3423313738	17.66	23.0
3423311461	46.01	21.0
3423313866	45.34	26.0
3423312074	39.64	31.0
3423312444	51.22	36.0
3423311834	36.21	31.0
3423311527	47.32	55.0
3423310476	54.87	27.0
3423310548	58.97	6.0
3423311011	57.3	42.0
3423310633	59.94	32.0
3423310595	61.72	25.0
3423312757	53.19	23.0
3423313776	35.13	38.0
3423312067	48.47	20.0
3423312235	51.17	43.0
3423310893	42.14	39.0
3423314121	54.31	35.0
3423313750	48.93	32.0
3423312776	53.51	44.0
3423312927	51.72	24.0
3423310765	49.86	10.0
3423311457	49.2	41.0
3423310678	60.2	39.0
3423312564	54.06	20.0
3423313058	72.91	30.0
3423310803	61.92	40.0
3423312166	44.2	24.0
3423312608	60.75	39.0
3423310646	68.36	37.0
3423314440	56.39	20.0
3423312301	38.19	15.0
3423311400	66.19	27.0
3423313288	58.2	17.0
3423314357	47.55	22.0
3423311015	37.62	16.0
3423312270	17.81	26.0
3423313457	31.25	29.0
3423311768	61.0	41.0
3423314289	40.98	33.0
3423310618	53.69	24.0
3423311628	51.46	9.0
3423313173	64.57	29.0
3423310552	53.79	23.0
3423314153	64.28	34.0
3423313814	38.41	24.0
3423312466	58.89	42.0
3423314103	44.17	33.0
3423311257	50.41	43.0
3423311814	63.63	28.0
3423311017	45.78	24.0
3423311127	55.61	20.0
3423311066	67.23	5.0
3423313316	49.69	38.0
3423313648	54.6	30.0
3423313558	40.94	59.0
3423313353	43.84	36.0
3423312285	56.36	19.0
3423310853	69.53	23.0
3423313991	51.48	19.0
3423312791	52.93	41.0
3423311030	55.52	8.0
3423310575	52.14	23.0
3423311959	62.86	21.0
3423314029	37.53	33.0
3423313843	63.47	25.0
3423310628	62.11	33.0
3423311869	43.52	25.0
3423312133	47.97	27.0
3423314085	42.27	37.0
3423310504	56.05	30.0
3423311462	62.08	37.0
3423310974	35.25	53.0
3423311980	39.81	25.0
3423312931	60.27	33.0
3423313867	53.41	22.0
3423313838	56.28	27.0
3423312956	53.31	25.0
3423312985	55.24	30.0
3423311863	44.97	29.0
3423313131	40.3	43.0
3423313166	47.18	42.0
3423313841	46.4	34.0
3423312477	35.11	15.0
3423313132	54.33	38.0
3423311934	54.59	64.0
3423311470	61.67	50.0
3423314234	52.39	19.0
3423313633	52.37	6.0
3423312165	40.84	25.0
3423314381	27.42	27.0
3423312732	44.79	31.0
3423312525	59.84	37.0
3423313793	36.0	45.0
3423313029	47.64	10.0
3423313920	51.85	37.0
3423311655	59.73	15.0
3423311576	42.96	37.0
3423313408	51.84	27.0
3423313342	59.62	23.0
3423312729	58.82	30.0
3423311987	50.93	30.0
3423313012	41.35	23.0
3423310573	24.58	45.0
3423311451	57.74	22.0
3423313032	38.14	33.0
3423312160	51.82	20.0
3423312397	41.37	17.0
3423311095	55.01	24.0
3423312803	64.56	53.0
3423311951	46.09	35.0
3423313818	57.81	20.0
3423311313	46.31	23.0
3423311389	66.62	37.0
3423312703	42.89	17.0
3423314199	40.82	23.0
3423312834	50.55	41.0
3423312795	40.43	40.0
3423312077	53.36	25.0
3423314379	44.83	27.0
3423310461	35.87	35.0
3423312709	46.95	23.0
3423312808	47.75	20.0
3423311713	57.12	26.0
3423312819	38.03	43.0
3423314401	54.31	45.0
3423311992	50.29	39.0
3423311164	33.6	24.0
3423311785	45.13	44.0
3423310769	31.68	31.0
3423310596	72.36	4.0
3423310503	48.43	55.0
3423311126	44.48	36.0
3423313487	56.54	20.0
3423314331	54.11	50.0
3423313472	49.51	29.0
3423312200	50.66	36.0
3423313015	61.82	23.0
3423312340	50.45	15.0
3423313441	67.7	43.0
3423312358	41.61	12.0
3423313702	39.63	31.0
3423311137	36.08	31.0
3423313567	45.18	27.0
3423313538	49.33	28.0
3423312814	48.66	45.0
3423310890	53.81	25.0
3423312595	35.57	44.0
3423311887	48.83	39.0
3423314123	69.14	40.0
3423312427	60.75	59.0
3423310735	52.01	39.0
3423312257	47.88	45.0
3423314416	40.3	30.0
3423311310	48.52	30.0
3423311848	55.06	37.0
