"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
1113121,0,8,1,6,6,6,0,4,9,12,0,"No",1,0.9,0.89,0,"No","No","No","Yes","No","Yes"
1113268,0,8,0,2,3,4,1,2,3,3,0,"No",0,0.96,0.97,0,"No","No","No","Yes","No","Yes"
1113874,20,2,0,45,99,153,16,42,80,111,10,"No",0,0.81,0.88,0,"No","No","No","Yes","No","Yes"
1114222,0,8,0,9,14,21,5,17,36,43,0,"No",0,0.96,0.98,0,"No","No","No","Yes","No","Yes"
1114823,0,12,0,31,31,31,7,15,33,47,2,"No",3,0.98,0.98,0,"No","No","No","Yes","No","Yes"
1115453,55,8,0,216,360,492,30,108,275,340,51,"No",0,0.0,0.0,0,"No","No","Yes","Yes","No","Yes"
1115620,-34,8,0,120,240,240,83,122,144,165,33,"No",0,1.0,0.97,34,"No","No","No","Yes","No","Yes"
1116446,4,9,0,43,67,115,5,22,40,58,4,"No",0,0.69,0.68,0,"No","No","No","Yes","No","Yes"
1116834,2,8,0,4,6,9,1,5,6,9,2,"No",0,1.0,0.95,0,"No","No","No","Yes","No","Yes"
1116868,-7,8,0,56,96,112,13,30,56,76,0,"No",0,0.97,0.92,7,"No","No","No","Yes","No","Yes"
1117011,1,8,0,2,4,6,0,2,3,4,0,"No",0,0.79,0.66,0,"No","No","No","Yes","No","Yes"
1117565,2,8,0,5,9,13,1,5,8,11,0,"No",0,0.84,0.48,0,"No","No","Yes","Yes","No","Yes"
1118248,0,12,0,5,6,9,0,4,5,6,3,"No",0,0.69,0.68,0,"No","No","No","Yes","No","Yes"
1118345,0,2,0,54,72,72,0,0,0,0,4,"No",0,0.67,0.61,0,"No","No","Yes","Yes","No","Yes"
1118984,0,12,0,4,7,9,1,3,4,7,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1120247,0,4,0,5,5,5,0,0,0,0,0,"No",0,0.69,0.68,0,"Yes","No","Yes","Yes","No","Yes"
1120320,1,2,1,3,6,8,1,2,2,2,0,"No",0,0.82,0.87,0,"No","No","Yes","Yes","No","Yes"
1120865,34,9,0,0,10,20,2,9,20,44,1,"No",0,1.0,0.95,0,"No","No","No","Yes","No","Yes"
1120866,4,12,0,0,0,0,2,4,8,10,15,"No",0,0.59,0.59,0,"Yes","No","No","Yes","No","Yes"
1120868,7,8,0,0,0,0,1,1,2,3,0,"No",0,1.0,0.98,0,"No","No","No","Yes","No","Yes"
1121151,1,8,1,104,104,104,2,6,17,18,15,"No",0,0.96,0.98,0,"No","No","Yes","Yes","No","Yes"
1121662,7,2,0,0,0,50,1,4,5,5,1,"No",0,0.79,0.85,0,"No","No","No","Yes","No","Yes"
1121942,0,2,0,1200,2112,2864,0,0,0,0,136,"No",0,0.92,0.79,0,"No","No","Yes","No","No","Yes"
1122449,1,2,0,0,1,2,0,0,0,0,1,"No",0,0.91,0.93,0,"No","No","No","Yes","No","Yes"
1122461,0,2,0,5,5,5,0,0,0,0,0,"No",0,0.0,0.0,0,"Yes","No","Yes","Yes","No","Yes"
1122487,1,8,0,10,10,10,2,10,17,20,2,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
